"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0,0,0,0
0.05,0,0,0
0.1,0,0,0
0.15,0,0,0
0.2,0,0,0
0.25,0,0,0
0.3,0,0,0
0.35,0,0,0.000308641975309
0.4,0,0,0.00246913580247
0.45,0,0,0.0132716049383
0.5,0,0.000555555555556,0.0425925925926
0.55,0,0.00277777777778,0.1
0.6,0,0.0105555555556,0.157716049383
0.65,0.001,0.02,0.189197530864
0.7,0.002,0.03,0.21049382716
0.75,0.004,0.0405555555556,0.239814814815
0.8,0.006,0.0527777777778,0.286728395062
0.85,0.009,0.07,0.314814814815
0.9,0.013,0.0872222222222,0.287037037037
0.95,0.018,0.0994444444444,0.242592592593
1,0.023,0.11,0.225925925926
1.05,0.029,0.120555555556,0.242592592593
1.1,0.035,0.132777777778,0.287037037037
1.15,0.042,0.15,0.314814814815
1.2,0.05,0.167222222222,0.287037037037
1.25,0.059,0.179444444444,0.242283950617
1.3,0.068,0.19,0.223765432099
1.35,0.078,0.200555555556,0.232098765432
1.4,0.088,0.212222222222,0.25987654321
1.45,0.099,0.227777777778,0.268209876543
1.5,0.111,0.24,0.258641975309
1.55,0.123,0.252222222222,0.268209876543
1.6,0.136,0.267777777778,0.25987654321
1.65,0.15,0.279444444444,0.231790123457
1.7,0.164,0.29,0.221604938272
1.75,0.179,0.300555555556,0.231481481481
1.8,0.194,0.312222222222,0.257716049383
1.85,0.21,0.327777777778,0.257716049383
1.9,0.227,0.339444444444,0.231481481481
1.95,0.244,0.35,0.221604938272
2,0.262,0.360555555556,0.231481481481
2.05,0.28,0.372222222222,0.257716049383
2.1,0.299,0.387777777778,0.257716049383
2.15,0.319,0.399444444444,0.231481481481
2.2,0.339,0.41,0.221296296296
2.25,0.36,0.420555555556,0.229320987654
2.3,0.381,0.432222222222,0.247222222222
2.35,0.403,0.447222222222,0.23024691358
2.4,0.426,0.457222222222,0.182716049383
2.45,0.449,0.462777777778,0.182716049383
2.5,0.472,0.472777777778,0.23024691358
2.55,0.496,0.487777777778,0.247222222222
2.6,0.521,0.499444444444,0.229320987654
2.65,0.546,0.51,0.220987654321
2.7,0.572,0.520555555556,0.229320987654
2.75,0.598,0.532222222222,0.247222222222
2.8,0.625,0.547222222222,0.23024691358
2.85,0.653,0.557222222222,0.182407407407
2.9,0.681,0.562777777778,0.180864197531
2.95,0.709,0.572777777778,0.221604938272
3,0.738,0.587222222222,0.228086419753
3.05,0.768,0.597777777778,0.197222222222
3.1,0.798,0.604444444444,0.201851851852
3.15,0.828,0.617777777778,0.211419753086
3.2,0.86,0.627777777778,0.188888888889
3.25,0.891,0.634444444444,0.2
3.3,0.923,0.647777777778,0.211111111111
3.35,0.956,0.657777777778,0.188580246914
3.4,0.989,0.664444444444,0.197839506173
3.45,1.022,0.677777777778,0.200925925926
3.5,1.057,0.687222222222,0.163271604938
3.55,1.091,0.692222222222,0.15987654321
3.6,1.126,0.701111111111,0.191049382716
3.65,1.161,0.711666666667,0.217283950617
3.7,1.197,0.725555555556,0.195987654321
3.75,1.234,0.731666666667,0.162962962963
3.8,1.27,0.74,0.162654320988
3.85,1.308,0.748333333333,0.161111111111
3.9,1.345,0.754444444444,0.187345679012
3.95,1.383,0.767777777778,0.198148148148
4,1.422,0.777222222222,0.158950617284
4.05,1.461,0.782222222222,0.140432098765
4.1,1.5,0.79,0.143209876543
4.15,1.54,0.797777777778,0.132098765432
4.2,1.58,0.802222222222,0.14012345679
4.25,1.62,0.810555555556,0.168209876543
4.3,1.661,0.82,0.178395061728
4.35,1.702,0.829444444444,0.168518518519
4.4,1.744,0.837777777778,0.141975308642
4.45,1.786,0.842222222222,0.14012345679
4.5,1.828,0.850555555556,0.147839506173
4.55,1.871,0.859444444444,0.0558641975309
4.6,1.914,0.867222222222,-0.418209876543
4.65,1.958,0.852222222222,-1.80308641975
4.7,2.001,0.758333333333,-4.54845679012
4.75,2.045,0.431111111111,-7.63240740741
4.8,2.057,-0.13,-8.14660493827
4.85,2.024,-0.546111111111,-5.43950617284
4.9,1.988,-0.681111111111,-2.30030864198
4.95,1.952,-0.698333333333,-0.528703703704
5,1.918,-0.684444444444,0.0858024691358
5.05,1.884,-0.676111111111,0.218518518519
5.1,1.85,-0.661666666667,0.250925925926
5.15,1.818,-0.65,0.252469135802
5.2,1.785,-0.637777777778,0.276851851852
5.25,1.754,-0.621666666667,0.286728395062
5.3,1.723,-0.608333333333,0.278703703704
5.35,1.693,-0.592777777778,0.251851851852
5.4,1.664,-0.582222222222,0.214197530864
5.45,1.635,-0.575,0.240432098765
5.5,1.606,-0.559444444444,0.287962962963
5.55,1.579,-0.542777777778,0.278395061728
5.6,1.552,-0.530555555556,0.248765432099
5.65,1.526,-0.519444444444,0.242283950617
5.7,1.5,-0.507777777778,0.262037037037
5.75,1.475,-0.492222222222,0.268518518519
5.8,1.451,-0.48,0.258641975309
5.85,1.427,-0.467777777778,0.268518518519
5.9,1.404,-0.452222222222,0.262037037037
5.95,1.382,-0.440555555556,0.242283950617
6,1.36,-0.429444444444,0.249074074074
6.05,1.339,-0.417222222222,0.28024691358
6.1,1.318,-0.400555555556,0.296604938272
6.15,1.299,-0.384444444444,0.258950617284
6.2,1.28,-0.376111111111,0.242283950617
6.25,1.261,-0.361666666667,0.252160493827
6.3,1.244,-0.35,0.252469135802
6.35,1.226,-0.337777777778,0.277160493827
6.4,1.21,-0.321666666667,0.288888888889
6.45,1.194,-0.308333333333,0.289197530864
6.5,1.179,-0.292222222222,0.279320987654
6.55,1.165,-0.28,0.263271604938
6.6,1.151,-0.267777777778,0.281172839506
6.65,1.138,-0.251666666667,0.297530864198
6.7,1.126,-0.237777777778,0.305864197531
6.75,1.114,-0.220555555556,0.298765432099
6.8,1.104,-0.205,0.244444444444
6.85,1.094,-0.197777777778,0.223148148148
6.9,1.084,-0.186666666667,0.27037037037
